City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Genhe,CN,50.7833,121.5167,60.37,47,10,11.86,clear sky
294,Rafaela,AR,-31.2503,-61.4867,48.99,75,100,5.99,overcast clouds
295,Luderitz,NA,-26.6481,15.1594,57.27,67,47,8.12,scattered clouds
296,Umm Lajj,SA,25.0213,37.2685,87.44,70,25,6.02,scattered clouds
297,Dongkan,CN,33.9997,119.8308,83.23,82,100,7.18,overcast clouds
298,Zyryanka,RU,65.75,150.85,78.75,37,37,9.73,scattered clouds
299,Rafai,CF,4.95,23.9167,68.09,96,70,2.8,broken clouds
300,Lenger,KZ,42.183,69.8839,65.64,42,8,4.79,clear sky
301,Puerto Colombia,CO,10.9878,-74.9547,84.29,86,31,16.04,scattered clouds
302,Russell,US,32.3502,-85.1999,85.37,83,40,3.44,scattered clouds
303,Sucha Beskidzka,PL,49.7419,19.5943,59.61,82,89,2.04,overcast clouds
304,Synya,RU,65.3718,58.0387,57.47,70,92,5.86,overcast clouds
305,Cascais,PT,38.6979,-9.4215,68.5,74,0,13.0,clear sky
306,Kysyl-Syr,RU,63.8986,122.7617,62.15,71,100,7.74,overcast clouds
307,Edson,CA,53.5835,-116.4356,69.91,34,0,7.81,clear sky
308,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,78,20,7.58,few clouds
309,Ulladulla,AU,-35.35,150.4667,49.15,88,99,10.8,overcast clouds
310,Burnie,AU,-41.0667,145.9167,52.95,68,20,2.28,few clouds
311,Kitakata,JP,37.65,139.8667,83.62,79,89,2.21,overcast clouds
312,Nybro,SE,56.7446,15.9071,60.04,85,95,2.21,overcast clouds
313,Cayenne,GF,4.9333,-52.3333,82.09,1,0,3.44,clear sky
314,Qandala,SO,11.472,49.8728,87.17,58,29,3.36,scattered clouds
315,Port Lincoln,AU,-34.7333,135.8667,55.2,53,0,10.94,clear sky
316,Kutum,SD,14.2,24.6667,74.5,68,97,9.62,overcast clouds
317,Adeje,ES,28.1227,-16.726,84.11,48,0,19.57,clear sky
318,Verkhnyaya Inta,RU,65.9811,60.3094,53.44,81,32,6.58,scattered clouds
319,Nagato,JP,34.3833,131.2,84.04,75,96,8.77,overcast clouds
320,Channel-Port Aux Basques,CA,47.5702,-59.1367,59.74,74,36,7.54,scattered clouds
321,Okhotsk,RU,59.3833,143.3,61.5,71,99,15.86,overcast clouds
322,Oranjemund,NA,-28.55,16.4333,54.07,81,64,5.95,broken clouds
323,Taoudenni,ML,22.6783,-3.9836,100.98,10,0,11.56,clear sky
324,Oulu,FI,65.0124,25.4682,50.11,93,62,2.3,broken clouds
325,Manggar,ID,-2.8833,108.2667,81.14,78,79,8.72,broken clouds
326,College,US,64.8569,-147.8028,60.75,71,75,8.05,broken clouds
327,Henties Bay,NA,-22.116,14.2845,54.37,89,20,7.92,few clouds
328,Douglas,US,41.3,-96.167,81.86,48,0,8.05,clear sky
329,Soyo,AO,-6.1349,12.3689,68.38,93,92,5.08,overcast clouds
330,Alekseyevsk,RU,57.8406,108.3492,51.55,85,100,2.17,overcast clouds
331,Tura,IN,25.5198,90.2201,74.55,91,10,5.3,clear sky
332,Samoded,RU,63.6083,40.5111,54.16,73,81,2.33,broken clouds
333,Sanming,CN,26.2486,117.6186,81.52,82,0,0.98,clear sky
334,Puerto Carreno,CO,6.189,-67.4859,78.98,84,98,5.41,overcast clouds
335,Lyaskelya,RU,61.7667,31.0167,55.71,81,99,3.22,overcast clouds
336,Richards Bay,ZA,-28.783,32.0377,65.14,82,84,17.09,moderate rain
337,Sabzevar,IR,36.2126,57.6819,79.88,28,0,11.5,clear sky
338,Menongue,AO,-14.6585,17.691,53.49,28,0,4.25,clear sky
339,Sept-Iles,CA,50.2001,-66.3821,58.05,75,99,1.01,overcast clouds
340,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,4.61,broken clouds
341,Port Hedland,AU,-20.3167,118.5667,62.65,72,60,3.44,broken clouds
342,Leningradskiy,RU,69.3833,178.4167,39.27,77,43,4.61,scattered clouds
343,Yalta,UA,44.5,34.1667,78.76,40,0,12.77,clear sky
344,Bocana De Paiwas,NI,12.7857,-85.1227,71.82,94,99,5.3,overcast clouds
345,Meulaboh,ID,4.1363,96.1285,75.0,87,99,4.34,overcast clouds
346,Saint-Leu,RE,-21.15,55.2833,66.31,75,10,14.34,clear sky
347,Gambela,ET,8.25,34.5833,69.96,98,100,2.04,moderate rain
348,Wenling,CN,28.3669,121.36,85.01,77,40,8.3,scattered clouds
349,Plouzane,FR,48.3833,-4.6167,62.65,88,0,6.91,clear sky
350,Maragogi,BR,-9.0122,-35.2225,74.08,79,22,9.17,few clouds
351,Guilin,CN,25.2819,110.2864,80.71,83,7,1.54,clear sky
352,Filingue,NE,14.3521,3.3168,83.64,68,82,12.39,broken clouds
353,Weligama,LK,5.9667,80.4167,75.99,90,89,9.06,overcast clouds
354,Kaohsiung,TW,22.6163,120.3133,86.04,79,75,4.61,broken clouds
355,Tahta,EG,26.7693,31.5021,87.51,27,1,6.53,clear sky
356,Fereydun Kenar,IR,36.6864,52.5225,79.72,84,30,20.45,light rain
357,Vila,PT,42.0304,-8.1588,62.71,83,0,2.48,clear sky
358,La Ronge,CA,55.1001,-105.2842,66.42,55,75,16.11,broken clouds
359,Maha Sarakham,TH,16.3333,103.6667,79.92,95,100,5.84,overcast clouds
360,Suicheng,CN,33.8963,117.9331,86.4,78,96,6.13,overcast clouds
