City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Lorengau,PG,2022-08-04 21:51:53,-2.0226,147.2712,82.49,79,100,9.8
130,Nanortalik,GL,2022-08-04 21:51:53,60.1432,-45.2371,46.38,87,100,4.68
131,Thinadhoo,MV,2022-08-04 21:51:53,0.5333,72.9333,82.29,66,100,17.54
132,Mayumba,GA,2022-08-04 21:51:54,-3.432,10.6554,68.41,92,37,7.2
133,Saint George,US,2022-08-04 21:51:54,37.1041,-113.5841,102.63,27,0,19.57
134,Ornskoldsvik,SE,2022-08-04 21:51:55,63.2909,18.7153,61.75,82,40,6.91
135,Namibe,AO,2022-08-04 21:51:55,-15.1961,12.1522,62.01,78,0,7.56
136,Rosarito,MX,2022-08-04 21:51:55,32.3333,-117.0333,75.42,73,100,10.54
137,Cortez,US,2022-08-04 21:48:02,37.3489,-108.5859,90.36,30,0,3.44
138,Samarai,PG,2022-08-04 21:51:56,-10.6167,150.6667,79.88,85,44,12.3
139,Am Timan,TD,2022-08-04 21:51:56,11.0297,20.2827,73.83,89,100,4.79
140,Arawa,PG,2022-08-04 21:51:56,-6.2132,155.5367,82.44,74,89,3.13
141,Kingston,JM,2022-08-04 21:47:59,17.997,-76.7936,88.75,64,20,32.21
142,Takoradi,GH,2022-08-04 21:51:57,4.8845,-1.7554,72.99,78,92,6.55
143,Kouango,CF,2022-08-04 21:51:57,4.9934,19.9619,70.5,97,96,2.44
144,Tiksi,RU,2022-08-04 21:51:58,71.6872,128.8694,47.1,68,85,1.05
145,Carnarvon,AU,2022-08-04 21:51:58,-24.8667,113.6333,58.84,59,48,13.71
146,Port Hardy,CA,2022-08-04 21:51:58,50.6996,-127.4199,62.78,67,75,11.5
147,Nyahururu,KE,2022-08-04 21:51:59,0.0421,36.3673,53.47,91,98,4.03
148,Ahipara,NZ,2022-08-04 21:51:59,-35.1667,173.1667,57.43,74,0,2.44
149,Nieves,PH,2022-08-04 21:51:59,15.3274,120.9485,80.11,98,100,0.85
150,Ixtapa,MX,2022-08-04 21:52:00,20.7,-105.2,91.22,69,56,5.01
151,Vieste,IT,2022-08-04 21:52:00,41.8825,16.175,79.47,65,0,6.91
152,Birao,CF,2022-08-04 21:52:00,10.2849,22.7882,68.86,95,53,4.25
153,Panelas,BR,2022-08-04 21:52:01,-8.6636,-36.0058,65.08,98,36,6.2
154,San Cristobal,VE,2022-08-04 21:48:06,7.7669,-72.225,78.98,56,41,3.91
155,Dahra,DZ,2022-08-04 21:52:02,36.2546,0.8519,83.59,37,0,5.1
156,Gimli,CA,2022-08-04 21:52:02,50.6336,-96.9907,76.86,57,38,16.62
157,Beian,NO,2022-08-04 21:52:02,63.6559,9.5683,54.01,93,75,8.05
158,Xiaoweizhai,CN,2022-08-04 21:52:03,26.1903,107.5125,70.0,96,52,3.38
159,Herat,AF,2022-08-04 21:52:03,34.5,62.0,76.42,22,0,24.83
160,Khatanga,RU,2022-08-04 21:52:04,71.9667,102.5,54.14,74,90,5.01
161,Severo-Kurilsk,RU,2022-08-04 21:52:04,50.6789,156.125,55.44,82,74,10.47
162,Muisne,EC,2022-08-04 21:52:05,0.6,-80.0333,75.9,83,93,9.24
163,Norman Wells,CA,2022-08-04 21:52:05,65.282,-126.8329,73.44,35,40,4.61
164,Srednekolymsk,RU,2022-08-04 21:52:06,67.45,153.6833,52.16,50,23,8.32
165,Maneadero,MX,2022-08-04 21:52:06,31.7167,-116.5667,74.1,78,96,4.0
166,Buldana,IN,2022-08-04 21:52:06,20.5333,76.1833,72.84,94,100,6.11
167,Chateaubelair,VC,2022-08-04 21:52:07,13.2833,-61.25,81.12,83,75,13.8
168,Waipawa,NZ,2022-08-04 21:52:07,-41.4122,175.5153,51.55,75,40,8.57
169,Siteki,SZ,2022-08-04 21:52:07,-26.45,31.95,59.41,75,31,2.42
170,Leh,IN,2022-08-04 21:52:08,34.1667,77.5833,64.2,43,44,4.54
171,Torbay,CA,2022-08-04 21:52:08,47.6666,-52.7314,74.17,68,75,10.36
172,Port Lincoln,AU,2022-08-04 21:52:09,-34.7333,135.8667,51.98,82,66,15.21
173,Aksarka,RU,2022-08-04 21:52:09,66.5606,67.7975,56.88,75,12,6.15
174,Mecca,SA,2022-08-04 21:52:10,21.4267,39.8261,91.31,43,32,0.6
175,Iberia,US,2022-08-04 21:52:10,29.9502,-91.7507,83.98,83,20,6.91
